epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,281.525,1.50296,0.92192,1.117,0.8905,0.8216,0.89141,0.50385,1.39459,0.70896,1.11033,0.000555387,0.000555387,0.000555387
2,543.193,1.46014,0.79773,1.09985,0.89428,0.82787,0.89196,0.51113,1.38686,0.68747,1.10776,0.00106706,0.00106706,0.00106706
