epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,736.162,1.54481,1.26326,1.14616,0.84226,0.73687,0.82219,0.44,1.46659,0.8854,1.12003,0.000555527,0.000555527,0.000555527
2,1408.25,1.48988,0.88488,1.13975,0.86111,0.75801,0.84325,0.47772,1.41387,0.77298,1.11366,0.00100119,0.00100119,0.00100119
3,2072.13,1.46533,0.83003,1.13223,0.86904,0.78336,0.86373,0.49516,1.38324,0.73695,1.10389,0.00133682,0.00133682,0.00133682
