epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,274.847,1.50296,0.92192,1.117,0.8905,0.8216,0.89141,0.50385,1.39459,0.70896,1.11033,0.000555387,0.000555387,0.000555387
2,538.572,1.44696,0.77287,1.09517,0.90548,0.83225,0.90398,0.51722,1.36999,0.67745,1.10068,0.000891065,0.000891065,0.000891065
3,800.54,1.41884,0.73051,1.08299,0.90504,0.85516,0.91664,0.53255,1.35579,0.64391,1.08982,0.0010067,0.0010067,0.0010067
4,1059.18,1.38427,0.68404,1.06536,0.91801,0.87237,0.93209,0.55557,1.31196,0.58295,1.07105,0.000676802,0.000676802,0.000676802
5,1318.07,1.34382,0.63066,1.04928,0.92331,0.89015,0.94232,0.56833,1.29808,0.54513,1.06036,0.000346736,0.000346736,0.000346736
